Indications,Generics indicated,Indications Details,Therapeutic Class,Medicine Name,Weight (mg),Weight (ml/other),Tablet,Syrup,Ointment,Drop,Injection,Manufacturer
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Gastid S (Strawberry Flavor),(480 mg+20 mg),5 ml,1,1,0,0,0,Eskayef Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Magacil Plus,(480 mg+20 mg),5 ml,1,1,0,0,0,Opsonin Pharma Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Magacil Plus,480 mg+20 mg,,1,0,0,0,0,Opsonin Pharma Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Magalcon Plus,(480 mg+20 mg),5 ml,1,1,0,0,0,Ethical Drugs Limited
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Magalrat Plus,(480 mg+20 mg),5 ml,1,1,0,0,0,Ibn Sina Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Magalrat Plus,480 mg+20 mg,,1,0,0,0,0,Ibn Sina Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Maganta Plus,480 mg+20 mg,,1,0,0,0,0,Square Pharmaceuticals PLC
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Maganta Plus,(480 mg+20 mg),5 ml,1,1,0,0,0,Square Pharmaceuticals PLC
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Magaplus-X,(480 mg+20 mg),5 ml,1,1,0,0,0,Kemiko Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Magasol,(480 mg+20 mg),5 ml,1,1,0,0,0,Globe Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Maldrox,(480 mg+20 mg),5 ml,1,1,0,0,0,Drug International Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Mamet,(480 mg+20 mg),5 ml,1,1,0,0,0,Ad-din Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Marlox Plus,480 mg+20 mg,,1,0,0,0,0,Incepta Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Marlox Plus,(480 mg+20 mg),5 ml,1,1,0,0,0,Incepta Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Maxicon,(480 mg+20 mg),5 ml,1,1,0,0,0,Aristopharma Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Megasim,(480 mg+20 mg),5 ml,1,1,0,0,0,Medicon Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Nilcid,(480 mg+20 mg),5 ml,1,1,0,0,0,Novatek Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Novelta,(480 mg+20 mg),5 ml,1,1,0,0,0,Orion Pharma Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Novelta,480 mg+20 mg,,1,0,0,0,0,Orion Pharma Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Nygas,(480 mg+20 mg),5 ml,1,1,0,0,0,Team Pharmaceuticals Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Oxecone-MS,(480 mg+20 mg),5 ml,1,1,0,0,0,ACME Laboratories Ltd.
Abdominal distension,Magaldrate + Simethicone," This is indicated to relieve symptoms of dyspepsia, heartburn, acid indigestion, sour stomach, gastroesophageal reflux and hiatal hernia. It is also prescribed in hyperacidity associated with peptic ulcers, gastritis and esophagitis. Magaldrate may be given to children if necessary. Also indicated for the relief of flatulence, abdominal distension and windy colic. ","Antacids, Anti-dyspeptic/Carminatives",Pepcon Plus,480 mg+20 mg,,1,0,0,0,0,Leon Pharmaceuticals Ltd.
